id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,11,p5session3data,5,3988386972,1,1,1,10,1,21,1
2,11,p5session3data,5,8770838178,7,20,22,7,1,2,1
3,11,p5session3data,5,4193453638,9,9,9,30,1,,1
4,11,p5session3data,5,9345446309,10,10,30,30,1,,1
5,11,p5session3data,5,9767384409,11,30,30,30,1,,1
6,11,p5session3data,5,4190989736,12,30,30,30,1,,1
7,11,p5session3data,5,9552935887,14,14,14,30,1,,1
8,11,p5session3data,5,1108876965,27,27,27,27,1,8,1
9,11,p5session3data,5,4609495823,30,30,30,30,1,,1
10,11,p5session3data,5,5804000228,8,8,14,30,1,,11
11,11,p5session3data,5,5241179052,8,8,8,30,1,,11
12,11,p5session3data,5,7687077683,8,30,30,30,1,,11
13,11,p5session3data,5,6857460167,8,8,8,8,1,,11
14,11,p5session3data,5,4445149213,8,8,8,8,1,,11
15,11,p5session3data,5,2455872846,8,8,15,30,1,,11
16,11,p5session3data,5,7353253846,8,15,15,8,1,22,11
17,11,p5session3data,5,5631239304,8,8,8,8,1,,11
18,11,p5session3data,5,8312786506,8,8,10,8,1,,11
19,11,p5session3data,5,9750850173,8,8,8,30,1,,11
20,11,p5session3data,5,7080211559,8,8,8,8,1,,11
21,11,p5session3data,5,7353253846,8,15,15,8,2,22,11
22,11,p5session3data,5,7080211559,8,8,8,8,2,,11
23,11,p5session3data,5,7687077683,8,30,30,30,2,,11
24,11,p5session3data,5,6857460167,8,8,8,8,2,,11
25,11,p5session3data,5,5804000228,8,8,14,30,2,,11
26,11,p5session3data,5,5631239304,8,8,8,8,2,,11
27,11,p5session3data,5,2455872846,8,8,15,30,2,,11
28,11,p5session3data,5,8312786506,8,8,10,8,2,,11
29,11,p5session3data,5,4445149213,8,8,8,8,2,,11
30,11,p5session3data,5,9750850173,8,8,8,30,2,,11
31,11,p5session3data,5,5241179052,8,8,8,30,2,,11
32,11,p5session3data,5,4609495823,30,30,30,30,2,,1
33,11,p5session3data,5,1108876965,27,27,27,27,2,8,1
34,11,p5session3data,5,9552935887,14,14,14,30,2,,1
35,11,p5session3data,5,4190989736,12,30,30,30,2,,1
36,11,p5session3data,5,9767384409,11,30,30,30,2,,1
37,11,p5session3data,5,9345446309,10,10,30,30,2,,1
38,11,p5session3data,5,4193453638,9,9,9,30,2,,1
39,11,p5session3data,5,8770838178,7,20,22,7,2,2,1
40,11,p5session3data,5,3988386972,1,1,1,10,2,21,1
