id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,11,p5session2data,5,6346546297,6,6,6,6,1,,1
2,11,p5session2data,5,8770838178,7,20,22,7,1,,1
3,11,p5session2data,5,3858788050,9,28,28,9,1,,1
4,11,p5session2data,5,4782109855,9,9,18,18,1,40,1
5,11,p5session2data,5,5653889337,21,21,21,21,1,43,1
6,11,p5session2data,5,7199699577,10,25,25,25,1,,1
7,11,p5session2data,5,8005340493,26,28,28,26,1,,1
8,11,p5session2data,5,1108876965,27,27,27,27,1,,1
9,11,p5session2data,5,9216377667,11,11,11,11,1,,2
10,11,p5session2data,5,6892546454,10,12,12,11,1,,2
11,11,p5session2data,5,5451087579,14,14,14,14,1,16,2
12,11,p5session2data,5,7058786009,14,30,30,14,1,22,2
13,11,p5session2data,5,1005243656,8,8,8,20,1,,2
14,11,p5session2data,5,4314239466,10,10,10,20,1,,2
15,11,p5session2data,5,3381560601,12,12,22,22,1,,2
16,11,p5session2data,5,8519255924,22,22,22,22,1,,2
17,11,p5session2data,5,7093242708,10,10,10,10,1,,5
18,11,p5session2data,5,3216338204,10,10,10,10,1,,5
19,11,p5session2data,5,5873698857,10,24,24,10,1,,5
20,11,p5session2data,5,4037847170,10,30,30,10,1,,5
21,11,p5session2data,5,3988386972,1,1,1,10,1,,5
22,11,p5session2data,5,7353253846,8,15,15,8,1,,6
23,11,p5session2data,5,8312786506,8,8,10,8,1,,6
24,11,p5session2data,5,6857460167,8,8,8,8,1,,6
25,11,p5session2data,5,7080211559,8,8,8,8,1,,6
26,11,p5session2data,5,5631239304,8,8,8,8,1,,6
27,11,p5session2data,5,4445149213,8,8,8,8,1,10,6
28,11,p5session2data,5,4190989736,12,30,30,30,1,,11
29,11,p5session2data,5,5241179052,8,8,8,30,1,14,11
30,11,p5session2data,5,9750850173,8,8,8,30,1,48,11
31,11,p5session2data,5,9767384409,11,30,30,30,1,49,11
32,11,p5session2data,5,2455872846,8,8,15,30,1,35,11
33,11,p5session2data,5,9552935887,14,14,14,30,1,,11
34,11,p5session2data,5,9345446309,10,10,30,30,1,,11
35,11,p5session2data,5,7687077683,8,30,30,30,1,26,11
36,11,p5session2data,5,5804000228,8,8,14,30,1,19,11
37,11,p5session2data,5,4193453638,9,9,9,30,1,,11
38,11,p5session2data,5,4609495823,30,30,30,30,1,11,11
