id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,11,p4session2data,4,8770838178,7,20,22,7,1,,1
2,11,p4session2data,4,5451087579,14,14,14,14,1,16,1
3,11,p4session2data,4,5339660502,11,15,15,15,1,15,1
4,11,p4session2data,4,9571267520,17,30,30,17,1,29,1
5,11,p4session2data,4,5653889337,21,21,21,21,1,43,1
6,11,p4session2data,4,7199699577,10,25,25,25,1,,1
7,11,p4session2data,4,1108876965,27,27,27,27,1,,1
8,11,p4session2data,4,3381560601,12,12,22,22,1,,2
9,11,p4session2data,4,8519255924,22,22,22,22,1,,2
10,11,p4session2data,4,8005340493,26,28,28,26,1,,2
11,11,p4session2data,4,6418046186,26,26,26,26,1,45,2
12,11,p4session2data,4,4314239466,10,10,10,20,1,,3
13,11,p4session2data,4,1005243656,8,8,8,20,1,,3
14,11,p4session2data,4,5151657274,7,7,10,20,1,13,3
15,11,p4session2data,4,4473165659,11,11,10,11,1,39,4
16,11,p4session2data,4,6892546454,10,12,12,11,1,,4
17,11,p4session2data,4,4157132235,11,11,11,11,1,8,4
18,11,p4session2data,4,9216377667,11,11,11,11,1,,4
19,11,p4session2data,4,6857460167,8,8,8,8,1,,5
20,11,p4session2data,4,7080211559,8,8,8,8,1,,5
21,11,p4session2data,4,4445149213,8,8,8,8,1,10,5
22,11,p4session2data,4,8312786506,8,8,10,8,1,,5
23,11,p4session2data,4,7353253846,8,15,15,8,1,,5
24,11,p4session2data,4,5873698857,10,24,24,10,1,,7
25,11,p4session2data,4,3988386972,1,1,1,10,1,,7
26,11,p4session2data,4,3216338204,10,10,10,10,1,,7
27,11,p4session2data,4,4037847170,10,30,30,10,1,,7
28,11,p4session2data,4,9757974224,10,10,10,10,1,31,7
29,11,p4session2data,4,7093242708,10,10,10,10,1,,7
30,11,p4session2data,4,2189621527,10,10,10,10,1,34,7
31,11,p4session2data,4,7354804682,7,7,7,30,1,24,7
32,11,p4session2data,4,4630110075,10,18,30,30,1,,7
33,11,p4session2data,4,9750850173,8,8,8,30,1,48,7
34,11,p4session2data,4,9345446309,10,10,30,30,1,,7
35,11,p4session2data,4,9827094179,8,16,30,30,1,33,7
36,11,p4session2data,4,9826256583,7,30,30,30,1,32,7
37,11,p4session2data,4,9552935887,14,14,14,30,1,,7
