id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,5,p4session3data,4,2323589030,7,7,7,30,1,,1
2,5,p4session3data,4,2268325067,12,12,12,30,1,,1
3,5,p4session3data,4,7879072030,13,13,13,30,1,,1
4,5,p4session3data,4,8659870355,9,9,9,10,1,22,3
5,5,p4session3data,4,4326117282,9,9,9,9,1,10,3
6,5,p4session3data,4,3673477777,9,9,9,30,1,,3
7,5,p4session3data,4,1474789854,11,30,30,28,1,6,3
8,5,p4session3data,4,7760096477,11,11,30,30,1,,3
9,5,p4session3data,4,6543820761,11,11,11,11,1,26,3
10,5,p4session3data,4,2229247677,10,10,10,30,1,,4
11,5,p4session3data,4,4255403512,10,10,10,30,1,,4
12,5,p4session3data,4,2092122399,10,10,10,10,1,21,4
13,5,p4session3data,4,2796030302,10,10,30,30,1,,4
14,5,p4session3data,4,7778430228,8,8,8,30,1,,5
15,5,p4session3data,4,8978432014,8,30,30,30,1,,5
16,5,p4session3data,4,1980113770,8,8,8,30,1,,5
17,5,p4session3data,4,6214172108,8,25,25,8,1,18,5
18,5,p4session3data,4,1446436501,8,30,30,30,1,,5
19,5,p4session3data,4,1446436501,8,30,30,30,2,,5
20,5,p4session3data,4,1980113770,8,8,8,30,2,,5
21,5,p4session3data,4,7778430228,8,8,8,30,2,,5
22,5,p4session3data,4,6214172108,8,25,25,8,2,18,5
23,5,p4session3data,4,8978432014,8,30,30,30,2,,5
24,5,p4session3data,4,2796030302,10,10,30,30,2,,4
25,5,p4session3data,4,2092122399,10,10,10,10,2,21,4
26,5,p4session3data,4,2229247677,10,10,10,30,2,,4
27,5,p4session3data,4,4255403512,10,10,10,30,2,,4
28,5,p4session3data,4,1474789854,11,30,30,28,2,6,3
29,5,p4session3data,4,7760096477,11,11,30,30,2,,3
30,5,p4session3data,4,6543820761,11,11,11,11,2,26,3
31,5,p4session3data,4,8659870355,9,9,9,10,2,22,3
32,5,p4session3data,4,3673477777,9,9,9,30,2,,3
33,5,p4session3data,4,4326117282,9,9,9,9,2,10,3
34,5,p4session3data,4,7879072030,13,13,13,30,2,,1
35,5,p4session3data,4,2268325067,12,12,12,30,2,,1
36,5,p4session3data,4,2323589030,7,7,7,30,2,,1
