id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,5,p4session4data,4,7760096477,11,11,30,30,1,8,1
2,5,p4session4data,4,7760096477,11,11,30,30,2,8,1
3,5,p4session4data,4,7760096477,11,11,30,30,3,8,1
4,5,p4session4data,4,7760096477,11,11,30,30,4,8,1
5,5,p4session4data,4,7760096477,11,11,30,30,5,8,1
6,5,p4session4data,4,7760096477,11,11,30,30,6,8,1
7,5,p4session4data,4,7760096477,11,11,30,30,7,8,1
8,5,p4session4data,4,7760096477,11,11,30,30,8,8,1
9,5,p4session4data,4,7760096477,11,11,30,30,9,8,1
10,5,p4session4data,4,7760096477,11,11,30,30,10,8,1
